activity_id,title,description,status,start_date,end_date,spent_time,expected_time
16,Sun!,"Nos commodius agimus. non enim solumTorquatus dixit quid sentiret, sed etiam cur. ego autem arbitror, quamquam admodum delectatus sum eius oratione perpetua, tamencommodius, cum in rebus singulis insistas et intellegas quidquisque concedat, quid abnuat, ex rebus concessis concludi quodvelis et ad exitum perveniri. cum enim fertur quasi torrens oratio, quamvi!",FINISHED,2018-10-12,2018-10-15,1438,1440
17,Sun!,"Ut vero conservetur omnis homini erga hominem societas, coniunctio, caritas, et emolumenta et detrimenta, quae et appellant, communia esse voluerunt; quorum altera prosunt, nocent altera. neque solum ea communia, verum etiam paria esse dixerunt. incommoda autem et commoda - ita enim et appello - communia esse voluerunt, paria noluerunt. ill?",FINISHED,2018-10-15,2018-10-18,1515,1440
18,Quods?,"Hoc positum in Phaedro a Platoneprobavit Epicurus sensitque in omni disputatione id fieri oportere.sed quod proximum fuit non vidit. negat enim definiri rem placere, sine quo fieri interdum non potest, ut inter eos, qui ambigunt, conveniat quid sit id, de quo agatur, velut in hoc ipso, de quonunc disputamus. quaerimu?",FINISHED,2018-10-18,2018-10-21,1510,1440
19,Quo!,"Sed haec quidem liberius ab eodicuntur et saepius. quod equidem non reprehendo; est enim tantiphilosophi tamque nobilis audacter sua decreta defendere. sed tamenex eo, quod eam voluptatem, quam omnes gentes hoc nomine appellant, videtur amplexari saepe vehementius, in magnis interdum versaturangustiis, ut hominum conscientia remota nihil tam turpe sit, quodvoluptati.",FINISHED,2018-10-21,2018-10-24,1381,1440
20,Minim?,"Huic certae stabilique sententiae quae sint coniuncta explicabo brevi. nullus in ipsis error est finibus bonorum et malorum, id est in voluptate aut in dolore, sed in his rebus peccant, cum e quibus haec efficiantur ignorant. animi autem voluptates et dolores nasci fatemur e corporis voluptatibus et doloribus - itaqu!",FINISHED,2018-10-24,2018-10-27,1415,1440
21,Se.,"Ut enim obscuratur et offunditur luce solis lumen lucernae, et ut interit magnitudine maris Aegaei stilla mellis, et ut in divitiis Croesi teruncii accessio et gradus unus in ea via, quae est hinc in Indiam, sic, cum sit is bonorum finis, quem Stoici dicunt, omnis ista rerum corporearum aestimatio splendor.",FINISHED,2018-10-27,2018-10-30,1550,1440
22,Hui.,"Iam in altera philosophiae parte. quae est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi quidem videtur, inermis ac nudus est. tollit definitiones, nihil de dividendo ac partiendo docet, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum i.",FINISHED,2018-10-30,2018-11-02,1540,1440
23,Haec?,"Cupiditates non Epicuri divisionefiniebat, sed sua satietate. habebat tamen rationem valitudinis:utebatur iis exercitationibus, ut ad cenam et sitiens et esuriensveniret, eo cibo, qui et suavissimus esset et idem facillimus adconcoquendum, vino et ad voluptatem et ne noceret. cetera illaadhibebat, quibus demptis negat se Epicurus intellegere quid sitbonum. aberat omnis dolor?",FINISHED,2018-11-02,2018-11-05,1460,1440
24,Eademqu?,"Ut autem a facillimis ordiamur, prima veniat in medium Epicuri ratio, quae plerisque notissima est. quam a nobis sic intelleges eitam, ut ab ipsis, qui eam disciplinam probant, non soleat accuratius explicari; verum enim invenire volumus, non tamquam adversarium aliquem convincere. accurate autem quondam a L. Torquato, homine omni doctrin!",FINISHED,2018-11-05,2018-11-08,1372,1440
25,Qui!,"Nec tamen argumentum hoc Epicurusa parvis petivit aut etiam a bestiis, quae putat esse speculanaturae, ut diceret ab iis duce natura hanc voluptatem expeti nihildolendi. nec enim haec movere potest appetitum animi, nec ullumhabet ictum, quo pellat animum, status hic non dolendi, itaque inhoc eodem peccat Hieronymus. at ille pellit.",FINISHED,2018-11-08,2018-11-11,1532,1440
26,Qua!,"Quid nunc 'honeste' dicit? idemne, quod iucunde? ergo ita: non posse honeste vivi, nisi honestevivatur? an nisi populari fama? sine ea igitur iucunde negat posse vivere? quid turpius quam sapientis vitam exinsipientium sermone pendere? quid ergo hoc loco intellegithonestum? certe nihil nisi quod possit ipsum propter se iurelaudari. nam s!",FINISHED,2018-11-11,2018-11-14,1538,1440
27,Extremu.,"Vide, quantum, inquam, fallare, Torquate. oratio me istius philosophi non offendit; nam et complectitur verbis, quod vult, et dicit plane, quod intellegam; et tamen ego a philosopho, si afferat eloquentiam, non asperner, si non habeat, non admodum flagitem. re mihi non aeque satisfacit, et quidem locis pluribus. sed quot homines?",FINISHED,2018-11-14,2018-11-17,1411,1440
28,S!,"Haec igitur Epicuri non probo, inquam. De cetero vellem equidem aut ipse doctrinis fuisset instructior - est enim, quod tibi ita videri necesse est, non satis politus iis artibus, quas qui tenent, eruditi appellantur - aut ne deterruisset alios a studiis. quamquam te quidem video minime esse deterritum. Quae cu.",FINISHED,2018-11-17,2018-11-20,1320,1440
29,Videamu?,"In his primis naturalibus voluptasinsit necne, magna quaestio est. nihil vero putare esse praetervoluptatem, non membra, non sensus, non ingenii motum, nonintegritatem corporis, non valitudinem , summae mihividetur inscitiae. Atque ab isto capite fluere necesse est omnemrationem bonorum et malorum. Polemoni et iam ante Aristoteli eaprima visa sunt, quae paul!",FINISHED,2018-11-20,2018-11-23,1390,1440
30,A?,"Restat locus huic disputationi vel maxime necessarius de amicitia, quam, si voluptas summum sit bonum, affirmatis nullam omnino fore. de qua Epicurus quidem ita dicit, omnium rerum, quas ad beate vivendum sapientia comparaverit, nihil esse maius amicitia, nihil uberius, nihil iucundius. nec vero hoc oratione solum, sed multo magis vit.",FINISHED,2018-11-23,2018-11-26,1545,1440
31,Eade!,"'Oculorum', inquit Plato, 'est innobis sensus acerrimus, quibus sapientiam non cernimus. quam illaardentis amores excitaret sui!' Cur tandem? an quod ita callidaest, ut optime possit architectari voluptates? Cur iustitialaudatur? aut unde est hoc contritum vetustate proverbium: 'quicumin tenebris'? hoc dictum in una re latissime patet, ut in omnibusfactis re, no.",FINISHED,2017-12-26,2017-12-28,843,960
32,Omn.,"Sed lustremus animo non hasmaximas artis, quibus qui carebant inertes a maioribusnominabantur, sed quaero num existimes, non dico Homerum, Archilochum, Pindarum, sed Phidian, Polyclitum, Zeuxim advoluptatem artes suas direxisse. ergo opifex plus sibi proponet adformarum quam civis excellens ad factorum pulchritudinem? quaeautem est alia causa erroris tanti tam longe latequ!",FINISHED,2017-12-28,2017-12-30,1072,960
33,I!,"Sed tamen intellego quid velit.quaero autem quid sit, quod, cum dissolutione, id est morte, sensusomnis extinguatur, et cum reliqui nihil sit omnino, quod pertineatad nos, tam accurate tamque diligenter caveat et sanciat utAmynomachus et Timocrates, heredes sui, de Hermarchi sententia dentquod satis sit ad diem agendum natalem suum quotannis menseGamelion!",FINISHED,2017-12-30,2018-01-01,984,960
34,Di!,"Quid paulo ante, inquit, dixerimnonne meministi, cum omnis dolor detractus esset, variari, nonaugeri voluptatem? Memini vero, inquam; sed tu istuc dixti beneLatine, parum plane. varietas enim Latinum verbum est, idqueproprie quidem in disparibus coloribus dicitur, sed transfertur inmulta disparia: varium poema, varia oratio, varii mores, variafortuna, voluptas etiam varia dic?",FINISHED,2018-01-01,2018-01-03,1062,960
35,Hae!,"Non prorsus, inquit, omnisque, quisine dolore sint, in voluptate, et ea quidem summa, esse dico. Ergoin eadem voluptate eum, qui alteri misceat mulsum ipse non sitiens, et eum, qui illud sitiens bibat? Tum ille: Finem, inquit, interrogandi, si videtur, quod quidem ego a principio ita me malledixeram hoc ipsum providens.",FINISHED,2018-01-03,2018-01-05,841,960
36,Pertiner?,"An vero certius quicquam potest esse quam illorum ratione, qui dolorem in malis ponunt, non posse sapientem beatum esse, cum eculeo torqueatur? eorum autem, qui dolorem in malis non habent, ratio certe cogit ut in omnibus tormentis conservetur beata vita sapienti. etenim si dolores eosdem tolerabilius patiuntur qui excipiunt eo!",FINISHED,2018-01-05,2018-01-07,962,960
37,Qui?,"Haec igitur Epicuri non probo, inquam. De cetero vellem equidem aut ipse doctrinis fuisset instructior - est enim, quod tibi ita videri necesse est, non satis politus iis artibus, quas qui tenent, eruditi appellantur - aut ne deterruisset alios a studiis. quamquam te quidem video minime esse deterritum. Quae cu!",FINISHED,2018-01-07,2018-01-09,850,960
38,Ne?,"Haec, quae praeposita dicimus, partim sunt per se ipsa praeposita, partim quod aliquid efficiunt, partim utrumque, per se, ut quidam habitus oris et vultus, ut status, ut motus, in quibus sunt et praeponenda quaedam et reicienda; alia ob eam rem praeposita dicentur, quod ex se aliquid efficiant, ut pecunia, ali!",FINISHED,2018-01-09,2018-01-11,1047,960
39,Han.,"Est, ut dicis, inquam. sed tamen omne, quod de re bona dilucide dicitur, mihi praeclare dici videtur. istius modi autem res dicere ornate velle puerile est, plane autem et perspicue expedire posse docti et intellegentis viri. Progrediamur igitur, quoniam, inquit, ab his principiis naturae discessimus, quibus congruere debent quae sequuntur.",FINISHED,2018-01-11,2018-01-13,953,960
40,Est!,"Sed iam sentio me esse longius provectum, quam proposita ratio postularet. verum admirabilis compositio disciplinae incredibilisque rerum me traxit ordo; quem, per deos inmortales! nonne miraris? quid enim aut in natura, qua nihil est aptius, nihil descriptius, aut in operibus manu factis tam compositum tamque compactum et coagmentatum inveniri potest?",FINISHED,2018-01-13,2018-01-15,999,960
41,Han.,"Sed ex hoc primum error tollendus est, ne quis sequi existimet, ut duo sint ultima bonorum. etenim, si cui propositum sit conliniare hastam aliquo aut sagittam, sicut nos ultimum in bonis dicimus, sic illi facere omnia, quae possit, ut conliniet huic in eius modi similitudine omnia sint facienda, ut conliniet!",FINISHED,2018-01-15,2018-01-17,980,960
42,U!,"Non igitur potestis voluptateomnia dirigentes aut tueri aut retinere virtutem. nam nec vir bonusac iustus haberi debet qui, ne malum habeat, abstinet se abiniuria. nosti, credo, illud: 'Nemo pius est, qui pietatem - '; caveputes quicquam esse verius. nec enim, dum metuit, iustus est, etcerte, si metuere destiterit, non erit?",FINISHED,2018-01-17,2018-01-19,901,960
43,Est?,"Iam in altera philosophiae parte. quae est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi quidem videtur, inermis ac nudus est. tollit definitiones, nihil de dividendo ac partiendo docet, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum i!",FINISHED,2018-01-19,2018-01-21,889,960
44,Itaque?,"Ut enim obscuratur et offunditur luce solis lumen lucernae, et ut interit magnitudine maris Aegaei stilla mellis, et ut in divitiis Croesi teruncii accessio et gradus unus in ea via, quae est hinc in Indiam, sic, cum sit is bonorum finis, quem Stoici dicunt, omnis ista rerum corporearum aestimatio splendor?",FINISHED,2018-01-21,2018-01-23,1001,960
45,Qua?,"Dic in quovis conventu te omniafacere, ne doleas. si ne hoc quidem satis ample, satis honeste diciputas, dic te omnia et in isto magistratu et in omni vitautilitatis tuae causa facturum, nihil nisi quod expediat, nihildenique nisi tua causa: quem clamorem contionis aut quam spemconsulatus eius, qui tibi paratissimus est?",FINISHED,2018-01-23,2018-01-25,973,960
46,Se!,"Est, ut dicis, inquam. sed tamen omne, quod de re bona dilucide dicitur, mihi praeclare dici videtur. istius modi autem res dicere ornate velle puerile est, plane autem et perspicue expedire posse docti et intellegentis viri. Progrediamur igitur, quoniam, inquit, ab his principiis naturae discessimus, quibus congruere debent quae sequuntur.",FINISHED,2018-01-25,2018-01-27,1059,960
47,Videmu?,"Haec mirabilia videri intellego, sed cum certe superiora firma ac vera sint, his autem ea consentanea et consequentia, ne de horum quidem est veritate dubitandum. sed quamquam negant nec virtutes nec vitia crescere, tamen utrumque eorum fundi quodam modo et quasi dilatari putant. Divitias autem Diogenes censet eam modo vi.",FINISHED,2018-01-27,2018-01-29,1075,960
48,Ii!,"Sunt autem quidam Epicurei timidiores paulo contra vestra convicia, sed tamen satis acuti, qui verentur ne, si amicitiam propter nostram voluptatem expetendam putemus, tota amicitia quasi claudicare videatur. itaque primos congressus copulationesque et consuetudinum instituendarum voluntates fieri propter voluptatem; cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere tantum, ut?",FINISHED,2018-01-29,2018-01-31,870,960
49,Videamu?,"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros? quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. quorum facta quem ad modum, quaeso, interpretaris?",FINISHED,2018-01-31,2018-02-02,1015,960
50,Veru!,"Faceres tu quidem, Torquate, haecomnia; nihil enim arbitror esse magna laude dignum, quod tepraetermissurum credam aut mortis aut doloris metu. non quaeriturautem quid naturae tuae consentaneum sit, sed quid disciplinae.ratio ista, quam defendis, praecepta, quae didicisti, quae probas, funditus evertunt amicitiam, quamvis eam Epicurus, ut facit, incaelum efferat laudibus. A!",FINISHED,2018-02-02,2018-02-04,963,960
51,Se?,"Atque perspicuum etiam illud est, in istis rebus mediis aliquid agere sapientem. iudicat igitur, cum agit, officium illud esse. quod quoniam numquam fallitur in iudicando, erit in mediis rebus officium. quod efficitur hac etiam conclusione rationis: Quoniam enim videmus esse quiddam, quod recte factum appellemus, id autem est perfectum officium?",FINISHED,2015-02-02,2015-02-08,2889,2880
52,Circumscripti!,"In eo autem voluptas omnium Latineloquentium more ponitur, cum percipitur ea, quae sensum aliquemmoveat, iucunditas. hanc quoque iucunditatem, si vis, transfer inanimum; iuvare enim in utroque dicitur, ex eoque iucundum, modointellegas inter illum, qui dicat: 'Tanta laetitia auctus sum, utnihil constet', et eum, qui: 'Nunc demum mihi animus ardet', quorumalte.",FINISHED,2015-02-08,2015-02-14,2786,2880
53,A?,"Verum hoc loco sumo verbis his eandemcerte vim voluptatis Epicurum nosse quam ceteros. omnes enimiucundum motum, quo sensus hilaretur. Graece *donn, Latinevoluptatem vocant. Quid est igitur, inquit, quod requiras? Dicam, inquam, et quidem discendi causa magis, quam quo te aut Epicurumreprehensum velim. Ego quoque, inquit, didicerim libentius si quidattuleris, qua!",FINISHED,2015-02-14,2015-02-20,2781,2880
54,Se.,"Quodsi ne ipsarum quidem virtutum laus, in qua maxime ceterorum philosophorum exultat oratio, reperire exitum potest, nisi derigatur ad voluptatem, voluptas autem est sola, quae nos vocet ad se et alliciat suapte natura, non potest esse dubium, quin id sit summum atque extremum bonorum omnium, beateque vivere nihil aliud si?",FINISHED,2015-02-20,2015-02-26,2862,2880
55,Vide.,"Memini me adesse P. Sextilio Rufo, cum is rem ad amicos ita deferret, se esse heredem Q. Fadio Gallo, cuius in testamento scriptum esset se ab eo rogatum ut omnishereditas ad filiam perveniret. id Sextilius factum negabat.poterat autem inpune; quis enim redargueret? nemo nostrum credebat, eratque veri similius hunc mentiri?",FINISHED,2015-02-26,2015-03-04,2824,2880
56,Hun.,"Ut igitur illis, qui, recta ethonesta quae sunt, ea statuunt per se expetenda, adeunda sunt saepepericula decoris honestatisque causa, sic vestris, qui omniavoluptate metiuntur, pericula adeunda sunt, ut adipiscantur magnasvoluptates. si magna res, magna hereditas agetur, cum pecuniavoluptates pariantur plurimae, idem erit Epicuro vestro faciendum, si suum finem bonorum sequ?",FINISHED,2015-03-04,2015-03-10,2982,2880
57,Qua.,"Videsne quam sit magna dissensio?philosophus nobilis, a quo non solum Graecia et Italia, sed etiamomnis barbaria commota est, honestum quid sit, si id non sit involuptate, negat se intellegere, nisi forte illud, quodmultitudinis rumore laudetur. ego autem hoc etiam turpe esse saepeiudico et, si quando turpe non sit, tum ess?",FINISHED,2015-03-10,2015-03-16,2985,2880
58,Se?,"Qua igitur re ab deo vincitur, siaeternitate non vincitur? in qua quid est boni praeter summamvoluptatem, et eam sempiternam? quid ergo attinet gloriose loqui, nisi constanter loquare? In voluptate corporis - addam, si vis,'animi', dum ea ipsa, ut vultis, sit e corpore - situm est viverebeate. Quid? istam voluptatem perpetua!",FINISHED,2015-03-16,2015-03-22,2906,2880
59,Quis!,"Verum hoc loco sumo verbis his eandemcerte vim voluptatis Epicurum nosse quam ceteros. omnes enimiucundum motum, quo sensus hilaretur. Graece *donn, Latinevoluptatem vocant. Quid est igitur, inquit, quod requiras? Dicam, inquam, et quidem discendi causa magis, quam quo te aut Epicurumreprehensum velim. Ego quoque, inquit, didicerim libentius si quidattuleris, qua?",FINISHED,2015-03-22,2015-03-28,2821,2880
60,Occultu!,"Praeclare, inquit, facis, cum et eorum memoriam tenes, quorum uterque tibi testamento liberos suos commendavit, et puerum diligis. quod autem meum munus dicis non equidem recuso, sed te adiungo socium. addo etiam illud, multa iam mihi dare signa puerum et pudoris et ingenii, sed aetatem vides. Video equidem, inquam, se?",FINISHED,2015-03-28,2015-04-03,2811,2880
61,Qua!,"Praeclare, inquit, facis, cum et eorum memoriam tenes, quorum uterque tibi testamento liberos suos commendavit, et puerum diligis. quod autem meum munus dicis non equidem recuso, sed te adiungo socium. addo etiam illud, multa iam mihi dare signa puerum et pudoris et ingenii, sed aetatem vides. Video equidem, inquam, se?",FINISHED,2015-04-03,2015-04-09,2978,2880
62,Quods!,"Naturales divitias dixit parabilesesse, quod parvo esset natura contenta. Certe, nisi voluptatemtanti aestimaretis. Non minor, inquit, voluptas percipitur exvilissimis rebus quam ex pretiosissimis. Hoc est non modo cor nonhabere, sed ne palatum quidem. qui enim voluptatem ipsamcontemnunt, iis licet dicere se acupenserem maenae non anteponere.cui vero in voluptate summum bonu!",FINISHED,2015-04-09,2015-04-15,2872,2880
63,U.,"Haec mirabilia videri intellego, sed cum certe superiora firma ac vera sint, his autem ea consentanea et consequentia, ne de horum quidem est veritate dubitandum. sed quamquam negant nec virtutes nec vitia crescere, tamen utrumque eorum fundi quodam modo et quasi dilatari putant. Divitias autem Diogenes censet eam modo vi?",FINISHED,2015-04-15,2015-04-21,3000,2880
64,U?,"Sed et illum, quem nominavi, etceteros sophistas, ut e Platone intellegi potest, lusos videmus aSocrate. is enim percontando atque interrogando elicere solebateorum opiniones, quibuscum disserebat, ut ad ea, quae iirespondissent, si quid videretur, diceret. qui mos cum aposterioribus non esset retentus, Arcesilas eum revocavitinstituitque ut ii, qui se audire vellent.",FINISHED,2015-04-21,2015-04-27,2795,2880
65,Qua?,"Quare aliud aliquod, Torquate, hominis summum bonum reperiendum est, voluptatem bestiisconcedamus, quibus vos de summo bono testibus uti soletis. quid, sietiam bestiae multa faciunt duce sua quaeque natura partimindulgenter vel cum labore, ut in gignendo, in educando, perfacileappareat aliud quiddam iis propositum, non voluptatem?partim cursu et peragratione laetantur, congregatione alia.",FINISHED,2015-04-27,2015-05-03,2991,2880
66,Se!,"Ut enim, inquit, nemo dicit in regia regem ipsum quasi productum esse ad dignitatem (id est enim prohgmanon), sed eos, qui in aliquo honore sunt, quorum ordo proxime accedit, ut secundus sit, ad regium principatum, sic in vita non ea, quae primo loco sunt, sed ea, quae secundum locum optinent.",FINISHED,2015-05-03,2015-05-09,2888,2880
67,Se!,"Cum Epicuro autem hoc plus estnegotii, quod e duplici genere voluptatis coniunctus est, quodqueet ipse et amici eius et multi postea defensores eius sententiaefuerunt, et nescio quo modo, is qui auctoritatem minimam habet, maximam vim, populus cum illis facit. quos nisi redarguimus, omnisvirtus, omne decus, omnis vera laus deserenda est.",FINISHED,2015-05-09,2015-05-15,2805,2880
68,Qui.,"Pertinere autem ad rem arbitrantur intellegi natura fieri ut liberi a parentibus amentur. a quo initio profectam communem humani generis societatem persequimur. quod primum intellegi debet figura membrisque corporum, quae ipsa declarant procreandi a natura habitam esse rationem. neque vero haec inter se congruere possent, ut natura et procreari velle!",FINISHED,2015-05-15,2015-05-21,2830,2880
69,I.,"Haec ego non possum dicere nonesse hominis quamvis et belli et humani, sapientis vero nullo modo, physici praesertim, quem se ille esse vult, putare ullum essecuiusquam diem natalem. quid? idemne potest esse dies saepius, quisemel fuit? certe non potest. an eiusdem modi? ne id quidem, nisimulta annorum intercesserint milia, u?",FINISHED,2015-05-21,2015-05-27,2817,2880
70,Ia!,"Ut enim, inquit, nemo dicit in regia regem ipsum quasi productum esse ad dignitatem (id est enim prohgmanon), sed eos, qui in aliquo honore sunt, quorum ordo proxime accedit, ut secundus sit, ad regium principatum, sic in vita non ea, quae primo loco sunt, sed ea, quae secundum locum optinent.",FINISHED,2015-05-27,2015-06-02,2772,2880
71,Ii?,"Video equidem, inquam, sed tamen iam infici debet iis artibus, quas si, dum est tener, conbiberit, ad maiora veniet paratior. Sic, et quidem diligentius saepiusque ista loquemur inter nos agemusque communiter. sed residamus, inquit, si placet. Itaque fecimus. Tum ille: Tu autem cum ipse tantum librorum habeas, quos hic tande.",FINISHED,2015-06-02,2015-06-08,2787,2880
72,I!,"O praeclaram beate vivendi et apertam et simplicem et directam viam! eum enim certe nihil homini possit melius esse quam vacare omni dolore et molestia perfruique maximis et animi et corporis voluptatibus, videtisne quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod propositum est, summum bonum consequamur? clamat Epicurus?",FINISHED,2015-06-08,2015-06-14,2885,2880
73,Eademqu?,"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros? quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. quorum facta quem ad modum, quaeso, interpretaris?",FINISHED,2015-06-14,2015-06-20,2922,2880
74,Se?,"Eademque ratione ne temperantiam quidem propter se expetendam esse dicemus, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat. temperantia est enim, quae in rebus aut expetendis aut fugiendis ut rationem sequamur monet. nec enim satis est iudicare quid faciendum non faciendumve sit, sed stare etia.",FINISHED,2015-06-20,2015-06-26,2973,2880
75,Han!,"Videsne quam sit magna dissensio?philosophus nobilis, a quo non solum Graecia et Italia, sed etiamomnis barbaria commota est, honestum quid sit, si id non sit involuptate, negat se intellegere, nisi forte illud, quodmultitudinis rumore laudetur. ego autem hoc etiam turpe esse saepeiudico et, si quando turpe non sit, tum ess.",FINISHED,2015-06-26,2015-07-02,2957,2880
